date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:23	9441/9441	---MC-	200	added ('OK')	text/html	date:Mon,%2029%20Apr%202024%2017:06:21%20GMT	https://demo.openemr.io/a/openemr/interface/login/login.php?site=default	C:/Users/user/Documents/soluciones%20agiles%20Kalho/demo.openemr.io/a/openemr/interface/login/login8306.html	(from )
12:06:24	275/275	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Apr%202024%2017:06:21%20GMT	https://demo.openemr.io/robots.txt		(from )
12:06:24	87533/87533	---M--	200	added ('OK')	application/javascript	etag:%22155ed-61737bc644158%22	https://demo.openemr.io/a/openemr/public/assets/jquery/dist/jquery.min.js?v=76	C:/Users/user/Documents/soluciones%20agiles%20Kalho/demo.openemr.io/a/openemr/public/assets/jquery/dist/jquery.min23b1.js	(from https://demo.openemr.io/a/openemr/interface/login/login.php?site=default)
12:06:25	83376/83376	---M--	200	added ('OK')	application/javascript	etag:%22145b0-61737bc5cfdf8%22	https://demo.openemr.io/a/openemr/public/assets/bootstrap/dist/js/bootstrap.bundle.min.js?v=76	C:/Users/user/Documents/soluciones%20agiles%20Kalho/demo.openemr.io/a/openemr/public/assets/bootstrap/dist/js/bootstrap.bundle.min23b1.js	(from https://demo.openemr.io/a/openemr/interface/login/login.php?site=default)
12:06:25	17838/17838	---M--	200	added ('OK')	application/javascript	etag:%2245ae-61737bb72fb51%22	https://demo.openemr.io/a/openemr/library/js/utility.js?v=76	C:/Users/user/Documents/soluciones%20agiles%20Kalho/demo.openemr.io/a/openemr/library/js/utility23b1.js	(from https://demo.openemr.io/a/openemr/interface/login/login.php?site=default)
12:06:25	1504638/1504638	---M--	200	added ('OK')	text/css	etag:%2216f57e-61737c0e24b80%22	https://demo.openemr.io/a/openemr/public/themes/style_light.css?v=76	C:/Users/user/Documents/soluciones%20agiles%20Kalho/demo.openemr.io/a/openemr/public/themes/style_light23b1.css	(from https://demo.openemr.io/a/openemr/interface/login/login.php?site=default)
12:06:26	8128/8128	---M--	200	added ('OK')	application/javascript	etag:%221fc0-61737bb7210f1%22	https://demo.openemr.io/a/openemr/library/textformat.js?v=76	C:/Users/user/Documents/soluciones%20agiles%20Kalho/demo.openemr.io/a/openemr/library/textformat23b1.js	(from https://demo.openemr.io/a/openemr/interface/login/login.php?site=default)
12:06:26	37525/37525	---M--	200	added ('OK')	application/javascript	etag:%229295-61737bb720151%22	https://demo.openemr.io/a/openemr/library/dialog.js?v=76	C:/Users/user/Documents/soluciones%20agiles%20Kalho/demo.openemr.io/a/openemr/library/dialog23b1.js	(from https://demo.openemr.io/a/openemr/interface/login/login.php?site=default)
12:06:26	2911/2911	---M--	200	added ('OK')	application/javascript	etag:%22b5f-61737bb7174b1%22	https://demo.openemr.io/a/openemr/interface/product_registration/product_registration_service.js?v=76	C:/Users/user/Documents/soluciones%20agiles%20Kalho/demo.openemr.io/a/openemr/interface/product_registration/product_registration_service23b1.js	(from https://demo.openemr.io/a/openemr/interface/login/login.php?site=default)
12:06:26	4581/4581	---M--	200	added ('OK')	application/javascript	etag:%2211e5-61737bb7174b1%22	https://demo.openemr.io/a/openemr/interface/product_registration/product_registration_controller.js?v=76	C:/Users/user/Documents/soluciones%20agiles%20Kalho/demo.openemr.io/a/openemr/interface/product_registration/product_registration_controller23b1.js	(from https://demo.openemr.io/a/openemr/interface/login/login.php?site=default)
12:06:27	35917/35917	---M--	200	added ('OK')	image/png	etag:%228c4d-61737bb74fef1%22	https://demo.openemr.io/a/openemr/public/images/logos/core/login/primary/logo.png?t=1714377995	C:/Users/user/Documents/soluciones%20agiles%20Kalho/demo.openemr.io/a/openemr/public/images/logos/core/login/primary/logoe075.png	(from https://demo.openemr.io/a/openemr/interface/login/login.php?site=default)
12:06:27	275/275	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Apr%202024%2017:06:25%20GMT	https://demo.openemr.io/public/assets/jquery-ui-themes/themes/sunny/images/ui-icons_d19405_256x240.png	C:/Users/user/Documents/soluciones%20agiles%20Kalho/demo.openemr.io/public/assets/jquery-ui-themes/themes/sunny/images/ui-icons_d19405_256x240.png	(from https://demo.openemr.io/a/openemr/public/themes/style_light.css?v=76)
